transaction_id,account_number,amount,currency,transaction_type,status,transaction_date,description
TXN-10039,ACC-009,-439.06,EUR,DEBIT,COMPLETED,2025-01-15T16:21:00,Restaurant
TXN-10040,ACC-003,-182.76,EUR,DEBIT,COMPLETED,2025-01-15T17:24:00,Gym membership
TXN-10041,ACC-065,1716.72,EUR,CREDIT,PENDING,2025-01-15T18:25:00,Refund
TXN-10042,ACC-019,-198.66,EUR,DEBIT,COMPLETED,2025-01-15T18:40:00,Utility bill
TXN-10043,ACC-018,-337.12,EUR,DEBIT,COMPLETED,2025-01-15T19:31:00,Coffee shop
TXN-10044,ACC-065,-342.49,EUR,DEBIT,COMPLETED,2025-01-15T21:29:00,Gym membership
TXN-10045,ACC-001,-67.6,EUR,DEBIT,COMPLETED,2025-01-15T23:20:00,Grocery store
TXN-10046,ACC-082,1268.39,EUR,CREDIT,COMPLETED,2025-01-16T00:07:00,Refund
TXN-10047,ACC-062,3775.09,EUR,CREDIT,COMPLETED,2025-01-16T01:18:00,Dividend
TXN-10048,ACC-091,1565.73,USD,CREDIT,COMPLETED,2025-01-16T02:26:00,Refund
TXN-10049,ACC-034,-386.44,EUR,DEBIT,COMPLETED,2025-01-16T04:02:00,Streaming subscription
TXN-10050,ACC-011,-195.17,EUR,DEBIT,COMPLETED,2025-01-16T05:33:00,Gym membership
TXN-10051,ACC-057,-167.6,EUR,DEBIT,PENDING,2025-01-16T07:29:00,Restaurant
TXN-10052,ACC-041,-241.24,EUR,DEBIT,COMPLETED,2025-01-16T08:30:00,Gas station
TXN-10053,ACC-074,-17.4,EUR,DEBIT,COMPLETED,2025-01-16T08:52:00,Restaurant
TXN-10054,ACC-095,4357.08,EUR,CREDIT,COMPLETED,2025-01-16T10:20:00,Refund
TXN-10055,ACC-081,-296.61,EUR,DEBIT,FAILED,2025-01-16T12:20:00,Gym membership
TXN-10056,ACC-051,-322.3,EUR,DEBIT,COMPLETED,2025-01-16T12:49:00,Rent
TXN-10057,ACC-006,-16.54,EUR,DEBIT,COMPLETED,2025-01-16T14:16:00,Streaming subscription
TXN-10058,ACC-030,-215.24,EUR,DEBIT,COMPLETED,2025-01-16T14:43:00,Restaurant
TXN-10059,ACC-004,-150.28,EUR,DEBIT,COMPLETED,2025-01-16T15:57:00,Streaming subscription
TXN-10060,ACC-078,-232.17,EUR,DEBIT,COMPLETED,2025-01-16T16:26:00,Utility bill
TXN-10061,ACC-061,-107.5,EUR,DEBIT,COMPLETED,2025-01-16T18:12:00,Utility bill
TXN-10062,ACC-049,-338.49,EUR,DEBIT,COMPLETED,2025-01-16T19:28:00,Online purchase
TXN-10063,ACC-011,2396.01,EUR,CREDIT,COMPLETED,2025-01-16T21:24:00,Gift
TXN-10064,ACC-039,-194.0,EUR,DEBIT,COMPLETED,2025-01-16T23:07:00,Coffee shop
TXN-10065,ACC-044,-345.99,USD,DEBIT,COMPLETED,2025-01-17T00:06:00,Utility bill
TXN-10066,ACC-053,1982.5,EUR,CREDIT,COMPLETED,2025-01-17T00:23:00,Invoice payment
TXN-10067,ACC-077,-86.84,EUR,DEBIT,COMPLETED,2025-01-17T01:53:00,Restaurant
TXN-10068,ACC-025,-398.2,EUR,DEBIT,COMPLETED,2025-01-17T02:32:00,Utility bill
TXN-10069,ACC-002,2674.29,EUR,CREDIT,COMPLETED,2025-01-17T03:28:00,Invoice payment
TXN-10070,ACC-063,-140.1,USD,DEBIT,COMPLETED,2025-01-17T04:14:00,Utility bill
TXN-10071,ACC-057,665.59,EUR,CREDIT,COMPLETED,2025-01-17T04:21:00,Bonus
TXN-10072,ACC-034,-147.03,EUR,DEBIT,COMPLETED,2025-01-17T05:52:00,Gym membership
TXN-10073,ACC-091,-249.55,EUR,DEBIT,COMPLETED,2025-01-17T06:49:00,Coffee shop
TXN-10074,ACC-034,3623.24,USD,CREDIT,PENDING,2025-01-17T07:57:00,Dividend
TXN-10075,ACC-053,-227.16,EUR,DEBIT,COMPLETED,2025-01-17T08:06:00,Restaurant
TXN-10076,ACC-099,-193.2,EUR,DEBIT,COMPLETED,2025-01-17T09:45:00,Gym membership
TXN-10077,ACC-058,-101.4,EUR,DEBIT,COMPLETED,2025-01-17T11:40:00,Coffee shop
TXN-10078,ACC-049,-475.05,EUR,DEBIT,COMPLETED,2025-01-17T13:24:00,Utility bill
TXN-10079,ACC-076,-441.18,EUR,DEBIT,COMPLETED,2025-01-17T14:40:00,Coffee shop
TXN-10080,ACC-018,-67.37,EUR,DEBIT,COMPLETED,2025-01-17T16:25:00,Grocery store
TXN-10081,ACC-082,-172.17,EUR,DEBIT,PENDING,2025-01-17T16:32:00,Restaurant
TXN-10082,ACC-084,-372.67,EUR,DEBIT,COMPLETED,2025-01-17T17:03:00,Coffee shop
TXN-10083,ACC-083,-235.48,EUR,DEBIT,COMPLETED,2025-01-17T18:05:00,Restaurant
TXN-10084,ACC-065,-461.35,EUR,DEBIT,COMPLETED,2025-01-17T19:06:00,Utility bill
TXN-10085,ACC-035,-166.36,EUR,DEBIT,COMPLETED,2025-01-17T19:14:00,Gas station
TXN-10086,ACC-028,3892.57,EUR,CREDIT,COMPLETED,2025-01-17T20:03:00,Invoice payment
TXN-10087,ACC-014,-129.62,EUR,DEBIT,COMPLETED,2025-01-17T21:08:00,Grocery store
TXN-10088,ACC-086,2610.91,EUR,CREDIT,PENDING,2025-01-17T23:07:00,Salary payment
TXN-10089,ACC-059,-441.11,EUR,DEBIT,COMPLETED,2025-01-17T23:45:00,Streaming subscription
TXN-10090,ACC-002,-359.15,EUR,DEBIT,COMPLETED,2025-01-18T00:22:00,Gas station
TXN-10091,ACC-096,-297.77,EUR,DEBIT,COMPLETED,2025-01-18T01:50:00,Online purchase
TXN-10092,ACC-038,-208.72,EUR,DEBIT,PENDING,2025-01-18T03:21:00,Restaurant
TXN-10093,ACC-059,-245.61,EUR,DEBIT,COMPLETED,2025-01-18T05:02:00,Pharmacy
TXN-10094,ACC-024,-301.77,EUR,DEBIT,PENDING,2025-01-18T06:53:00,Utility bill
TXN-10095,ACC-067,3733.1,EUR,CREDIT,COMPLETED,2025-01-18T07:42:00,Freelance income
TXN-10096,ACC-100,-126.13,EUR,DEBIT,COMPLETED,2025-01-18T07:59:00,Gas station
TXN-10097,ACC-004,-259.14,EUR,DEBIT,PENDING,2025-01-18T09:23:00,Pharmacy
TXN-10098,ACC-020,-313.26,EUR,DEBIT,COMPLETED,2025-01-18T10:19:00,Streaming subscription
TXN-10099,ACC-007,-115.31,EUR,DEBIT,PENDING,2025-01-18T10:35:00,Coffee shop
TXN-10100,ACC-095,1930.68,EUR,CREDIT,COMPLETED,2025-01-18T11:27:00,Dividend
TXN-10101,ACC-031,-147.68,USD,DEBIT,COMPLETED,2025-01-18T13:00:00,Rent
TXN-10102,ACC-031,3985.71,EUR,CREDIT,COMPLETED,2025-01-18T14:06:00,Bonus
TXN-10103,ACC-020,-420.21,EUR,DEBIT,COMPLETED,2025-01-18T15:14:00,Pharmacy
TXN-10104,ACC-040,-256.97,USD,DEBIT,COMPLETED,2025-01-18T16:58:00,Gas station
TXN-10105,ACC-083,-327.54,EUR,DEBIT,COMPLETED,2025-01-18T18:09:00,Gas station
TXN-10106,ACC-067,-114.86,EUR,DEBIT,COMPLETED,2025-01-18T19:02:00,Coffee shop
TXN-10107,ACC-017,-393.03,USD,DEBIT,COMPLETED,2025-01-18T19:08:00,Pharmacy
TXN-10108,ACC-001,-268.11,EUR,DEBIT,COMPLETED,2025-01-18T19:33:00,Coffee shop
TXN-10109,ACC-039,-311.22,EUR,DEBIT,COMPLETED,2025-01-18T20:40:00,Pharmacy
TXN-10110,ACC-037,-419.7,EUR,DEBIT,COMPLETED,2025-01-18T22:26:00,Grocery store
TXN-10111,ACC-082,1163.54,EUR,CREDIT,COMPLETED,2025-01-18T23:57:00,Invoice payment
TXN-10112,ACC-008,-341.24,EUR,DEBIT,COMPLETED,2025-01-19T01:57:00,Utility bill
TXN-10113,ACC-076,-309.48,EUR,DEBIT,COMPLETED,2025-01-19T02:50:00,Restaurant
TXN-10114,ACC-059,1328.9,EUR,CREDIT,COMPLETED,2025-01-19T03:14:00,Bonus
TXN-10115,ACC-047,-203.82,EUR,DEBIT,FAILED,2025-01-19T04:30:00,Online purchase
TXN-10116,ACC-021,-262.21,USD,DEBIT,COMPLETED,2025-01-19T05:21:00,Gym membership
TXN-10117,ACC-008,-78.53,EUR,DEBIT,COMPLETED,2025-01-19T06:04:00,Coffee shop
TXN-10118,ACC-037,3053.63,EUR,CREDIT,COMPLETED,2025-01-19T06:21:00,Invoice payment
TXN-10119,ACC-019,-225.78,EUR,DEBIT,COMPLETED,2025-01-19T07:47:00,Coffee shop
TXN-10120,ACC-098,-477.64,EUR,DEBIT,PENDING,2025-01-19T08:07:00,Online purchase
TXN-10121,ACC-017,-398.99,EUR,DEBIT,COMPLETED,2025-01-19T09:04:00,Utility bill
TXN-10122,ACC-081,3752.1,EUR,CREDIT,COMPLETED,2025-01-19T10:51:00,Invoice payment
TXN-10123,ACC-028,-46.56,EUR,DEBIT,COMPLETED,2025-01-19T11:22:00,Restaurant
TXN-10124,ACC-029,-498.2,EUR,DEBIT,COMPLETED,2025-01-19T11:41:00,Online purchase
TXN-10125,ACC-020,-153.07,EUR,DEBIT,COMPLETED,2025-01-19T13:34:00,Rent
TXN-10126,ACC-035,-100.05,EUR,DEBIT,COMPLETED,2025-01-19T14:56:00,Utility bill
TXN-10127,ACC-032,-200.33,EUR,DEBIT,COMPLETED,2025-01-19T16:15:00,Restaurant
TXN-10128,ACC-037,2983.26,EUR,CREDIT,COMPLETED,2025-01-19T17:44:00,Freelance income
TXN-10129,ACC-093,1819.29,EUR,CREDIT,COMPLETED,2025-01-19T18:24:00,Freelance income
TXN-10130,ACC-077,-316.34,EUR,DEBIT,COMPLETED,2025-01-19T20:22:00,Restaurant
TXN-10131,ACC-082,940.58,EUR,CREDIT,COMPLETED,2025-01-19T20:58:00,Salary payment
TXN-10132,ACC-002,2329.64,EUR,CREDIT,COMPLETED,2025-01-19T22:08:00,Freelance income
TXN-10133,ACC-076,-442.18,USD,DEBIT,PENDING,2025-01-19T23:28:00,Grocery store
TXN-10134,ACC-074,3877.8,EUR,CREDIT,COMPLETED,2025-01-19T23:56:00,Gift
TXN-10135,ACC-005,2819.63,EUR,CREDIT,COMPLETED,2025-01-20T00:28:00,Freelance income
TXN-10136,ACC-052,-217.83,EUR,DEBIT,PENDING,2025-01-20T02:14:00,Streaming subscription
TXN-10137,ACC-065,4039.57,EUR,CREDIT,COMPLETED,2025-01-20T04:00:00,Salary payment
TXN-10138,ACC-020,-175.09,EUR,DEBIT,COMPLETED,2025-01-20T04:51:00,Rent
TXN-10139,ACC-059,-451.28,EUR,DEBIT,COMPLETED,2025-01-20T06:01:00,Rent
TXN-10140,ACC-084,248.88,USD,CREDIT,COMPLETED,2025-01-20T07:01:00,Gift
TXN-10141,ACC-026,-17.94,EUR,DEBIT,COMPLETED,2025-01-20T08:39:00,Utility bill
TXN-10142,ACC-065,-14.39,EUR,DEBIT,COMPLETED,2025-01-20T10:34:00,Utility bill
TXN-10143,ACC-034,59.22,EUR,CREDIT,COMPLETED,2025-01-20T11:30:00,Refund
TXN-10144,ACC-008,-334.44,EUR,DEBIT,COMPLETED,2025-01-20T13:24:00,Gas station
TXN-10145,ACC-026,-96.79,EUR,DEBIT,COMPLETED,2025-01-20T13:31:00,Rent
TXN-10146,ACC-079,1561.06,EUR,CREDIT,COMPLETED,2025-01-20T14:08:00,Dividend
TXN-10147,ACC-025,193.34,USD,CREDIT,COMPLETED,2025-01-20T15:53:00,Invoice payment
TXN-10148,ACC-032,-395.23,EUR,DEBIT,COMPLETED,2025-01-20T17:50:00,Streaming subscription
TXN-10149,ACC-015,-467.95,EUR,DEBIT,COMPLETED,2025-01-20T18:43:00,Pharmacy
TXN-10150,ACC-072,-245.82,EUR,DEBIT,COMPLETED,2025-01-20T19:48:00,Gym membership
TXN-10151,ACC-020,2272.06,EUR,CREDIT,COMPLETED,2025-01-20T21:07:00,Refund
TXN-10152,ACC-047,-225.38,EUR,DEBIT,COMPLETED,2025-01-20T22:29:00,Pharmacy
TXN-10153,ACC-031,-300.74,EUR,DEBIT,COMPLETED,2025-01-20T22:41:00,Gym membership
TXN-10154,ACC-018,-266.13,EUR,DEBIT,COMPLETED,2025-01-21T00:28:00,Coffee shop
TXN-10155,ACC-056,902.45,EUR,CREDIT,COMPLETED,2025-01-21T02:26:00,Dividend
TXN-10156,ACC-075,2500.33,EUR,CREDIT,COMPLETED,2025-01-21T02:37:00,Freelance income
TXN-10157,ACC-071,-385.16,EUR,DEBIT,COMPLETED,2025-01-21T03:51:00,Rent
TXN-10158,ACC-074,-440.13,EUR,DEBIT,COMPLETED,2025-01-21T04:19:00,Restaurant
TXN-10159,ACC-070,-17.59,EUR,DEBIT,COMPLETED,2025-01-21T05:39:00,Pharmacy
TXN-10160,ACC-083,-94.4,EUR,DEBIT,COMPLETED,2025-01-21T06:36:00,Utility bill
TXN-10161,ACC-006,-58.23,EUR,DEBIT,COMPLETED,2025-01-21T07:15:00,Grocery store
TXN-10162,ACC-050,-340.57,EUR,DEBIT,COMPLETED,2025-01-21T09:02:00,Utility bill
TXN-10163,ACC-081,-131.45,EUR,DEBIT,COMPLETED,2025-01-21T10:38:00,Utility bill
TXN-10164,ACC-015,-159.38,EUR,DEBIT,COMPLETED,2025-01-21T11:07:00,Grocery store
TXN-10165,ACC-009,-99.1,EUR,DEBIT,COMPLETED,2025-01-21T12:06:00,Online purchase
TXN-10166,ACC-022,-303.9,EUR,DEBIT,PENDING,2025-01-21T13:58:00,Gym membership
TXN-10167,ACC-100,1458.6,EUR,CREDIT,COMPLETED,2025-01-21T15:37:00,Dividend
TXN-10168,ACC-068,-224.73,EUR,DEBIT,COMPLETED,2025-01-21T15:55:00,Coffee shop
TXN-10169,ACC-019,-239.94,EUR,DEBIT,PENDING,2025-01-21T16:55:00,Gym membership
TXN-10170,ACC-018,-401.1,EUR,DEBIT,COMPLETED,2025-01-21T17:42:00,Gas station
TXN-10171,ACC-020,-77.13,EUR,DEBIT,COMPLETED,2025-01-21T18:57:00,Utility bill
TXN-10172,ACC-002,-403.26,EUR,DEBIT,PENDING,2025-01-21T20:54:00,Utility bill
TXN-10173,ACC-047,1351.73,EUR,CREDIT,COMPLETED,2025-01-21T21:48:00,Gift
TXN-10174,ACC-037,2346.3,EUR,CREDIT,COMPLETED,2025-01-21T22:50:00,Bonus
TXN-10175,ACC-100,-385.37,EUR,DEBIT,COMPLETED,2025-01-21T22:55:00,Restaurant
TXN-10176,ACC-046,-398.24,EUR,DEBIT,COMPLETED,2025-01-22T00:47:00,Restaurant
TXN-10177,ACC-046,89.29,EUR,CREDIT,PENDING,2025-01-22T01:33:00,Dividend
TXN-10178,ACC-070,1072.7,EUR,CREDIT,COMPLETED,2025-01-22T03:29:00,Freelance income
TXN-10179,ACC-065,4427.0,EUR,CREDIT,COMPLETED,2025-01-22T03:54:00,Bonus
TXN-10180,ACC-100,-327.07,EUR,DEBIT,COMPLETED,2025-01-22T05:51:00,Restaurant
TXN-10181,ACC-085,-70.06,EUR,DEBIT,COMPLETED,2025-01-22T06:29:00,Utility bill
TXN-10182,ACC-035,1699.8,EUR,CREDIT,COMPLETED,2025-01-22T07:04:00,Salary payment
TXN-10183,ACC-070,-82.44,EUR,DEBIT,COMPLETED,2025-01-22T08:46:00,Coffee shop
TXN-10184,ACC-052,-153.89,EUR,DEBIT,COMPLETED,2025-01-22T09:52:00,Grocery store
TXN-10185,ACC-053,-94.18,EUR,DEBIT,COMPLETED,2025-01-22T10:57:00,Coffee shop
TXN-10186,ACC-035,598.2,EUR,CREDIT,COMPLETED,2025-01-22T12:12:00,Bonus
TXN-10187,ACC-098,-360.23,EUR,DEBIT,PENDING,2025-01-22T13:37:00,Rent
TXN-10188,ACC-079,-490.32,USD,DEBIT,COMPLETED,2025-01-22T14:44:00,Grocery store
TXN-10189,ACC-001,-362.82,EUR,DEBIT,COMPLETED,2025-01-22T15:38:00,Restaurant
TXN-10190,ACC-045,906.98,EUR,CREDIT,COMPLETED,2025-01-22T16:34:00,Salary payment
TXN-10191,ACC-007,-109.5,EUR,DEBIT,PENDING,2025-01-22T16:39:00,Utility bill
TXN-10192,ACC-003,-383.11,EUR,DEBIT,COMPLETED,2025-01-22T18:30:00,Utility bill
TXN-10193,ACC-027,-441.95,EUR,DEBIT,COMPLETED,2025-01-22T19:15:00,Grocery store
TXN-10194,ACC-003,-49.3,EUR,DEBIT,COMPLETED,2025-01-22T19:47:00,Utility bill
TXN-10195,ACC-020,-52.21,USD,DEBIT,COMPLETED,2025-01-22T21:35:00,Utility bill
TXN-10196,ACC-045,1614.32,EUR,CREDIT,COMPLETED,2025-01-22T22:28:00,Dividend
TXN-10197,ACC-026,-173.08,EUR,DEBIT,COMPLETED,2025-01-22T23:28:00,Online purchase
TXN-10198,ACC-015,-138.91,EUR,DEBIT,COMPLETED,2025-01-22T23:39:00,Gas station
TXN-10199,ACC-059,-422.44,EUR,DEBIT,COMPLETED,2025-01-23T00:48:00,Streaming subscription
TXN-10200,ACC-051,-265.01,EUR,DEBIT,COMPLETED,2025-01-23T02:00:00,Pharmacy
TXN-10201,ACC-080,-231.12,EUR,DEBIT,COMPLETED,2025-01-23T02:13:00,Gym membership
TXN-10202,ACC-055,2247.96,EUR,CREDIT,COMPLETED,2025-01-23T02:24:00,Invoice payment
TXN-10203,ACC-095,1629.43,EUR,CREDIT,PENDING,2025-01-23T03:38:00,Salary payment
TXN-10204,ACC-023,-386.74,EUR,DEBIT,COMPLETED,2025-01-23T04:40:00,Gym membership
TXN-10205,ACC-004,-85.02,EUR,DEBIT,COMPLETED,2025-01-23T06:14:00,Gym membership
TXN-10206,ACC-029,-245.36,EUR,DEBIT,COMPLETED,2025-01-23T07:01:00,Pharmacy
TXN-10207,ACC-010,-293.61,EUR,DEBIT,COMPLETED,2025-01-23T08:46:00,Coffee shop
TXN-10208,ACC-081,-241.0,USD,DEBIT,COMPLETED,2025-01-23T09:59:00,Streaming subscription
TXN-10209,ACC-090,-431.52,EUR,DEBIT,COMPLETED,2025-01-23T11:45:00,Restaurant
TXN-10210,ACC-086,-443.4,EUR,DEBIT,COMPLETED,2025-01-23T12:45:00,Online purchase
TXN-10211,ACC-019,-157.82,EUR,DEBIT,COMPLETED,2025-01-23T12:51:00,Coffee shop
TXN-10212,ACC-060,-10.24,EUR,DEBIT,COMPLETED,2025-01-23T13:16:00,Pharmacy
TXN-10213,ACC-016,-459.14,EUR,DEBIT,PENDING,2025-01-23T14:14:00,Online purchase
TXN-10214,ACC-098,-166.63,EUR,DEBIT,COMPLETED,2025-01-23T15:01:00,Gas station
TXN-10215,ACC-006,3019.27,EUR,CREDIT,PENDING,2025-01-23T15:38:00,Bonus
TXN-10216,ACC-100,-121.3,EUR,DEBIT,COMPLETED,2025-01-23T16:01:00,Coffee shop
TXN-10217,ACC-011,-216.42,USD,DEBIT,PENDING,2025-01-23T17:48:00,Pharmacy
TXN-10218,ACC-071,2393.14,EUR,CREDIT,PENDING,2025-01-23T18:04:00,Invoice payment
TXN-10219,ACC-081,-358.49,EUR,DEBIT,COMPLETED,2025-01-23T19:23:00,Rent
TXN-10220,ACC-005,2591.23,EUR,CREDIT,COMPLETED,2025-01-23T19:49:00,Salary payment
TXN-10221,ACC-026,-493.82,USD,DEBIT,PENDING,2025-01-23T21:22:00,Gym membership
TXN-10222,ACC-056,-256.22,EUR,DEBIT,COMPLETED,2025-01-23T23:06:00,Rent
TXN-10223,ACC-092,1276.88,EUR,CREDIT,COMPLETED,2025-01-24T00:50:00,Dividend
TXN-10224,ACC-038,-122.31,EUR,DEBIT,COMPLETED,2025-01-24T02:12:00,Rent
TXN-10225,ACC-036,2356.89,EUR,CREDIT,COMPLETED,2025-01-24T03:07:00,Freelance income
TXN-10226,ACC-023,404.93,EUR,CREDIT,COMPLETED,2025-01-24T05:03:00,Gift
TXN-10227,ACC-023,-47.27,EUR,DEBIT,COMPLETED,2025-01-24T06:25:00,Gas station
TXN-10228,ACC-015,4361.67,USD,CREDIT,COMPLETED,2025-01-24T08:10:00,Refund
TXN-10229,ACC-043,2612.26,EUR,CREDIT,COMPLETED,2025-01-24T09:15:00,Gift
TXN-10230,ACC-010,-162.34,EUR,DEBIT,COMPLETED,2025-01-24T10:58:00,Online purchase
TXN-10231,ACC-013,1952.64,EUR,CREDIT,COMPLETED,2025-01-24T12:34:00,Dividend
TXN-10232,ACC-010,-182.86,EUR,DEBIT,COMPLETED,2025-01-24T13:37:00,Gas station
TXN-10233,ACC-010,-75.37,EUR,DEBIT,COMPLETED,2025-01-24T14:45:00,Online purchase
TXN-10234,ACC-044,-136.42,EUR,DEBIT,PENDING,2025-01-24T15:42:00,Grocery store
TXN-10235,ACC-068,-74.61,EUR,DEBIT,PENDING,2025-01-24T17:12:00,Restaurant
TXN-10236,ACC-022,-230.08,EUR,DEBIT,COMPLETED,2025-01-24T18:59:00,Gas station
TXN-10237,ACC-029,-202.44,EUR,DEBIT,COMPLETED,2025-01-24T20:27:00,Grocery store
TXN-10238,ACC-037,2903.36,EUR,CREDIT,COMPLETED,2025-01-24T21:24:00,Salary payment
TXN-10239,ACC-070,-317.52,EUR,DEBIT,COMPLETED,2025-01-24T22:30:00,Gym membership
TXN-10240,ACC-069,-48.57,EUR,DEBIT,COMPLETED,2025-01-24T23:41:00,Restaurant
TXN-10241,ACC-092,146.28,USD,CREDIT,COMPLETED,2025-01-25T01:18:00,Dividend
TXN-10242,ACC-034,-406.18,EUR,DEBIT,PENDING,2025-01-25T02:06:00,Coffee shop
TXN-10243,ACC-099,-72.59,EUR,DEBIT,COMPLETED,2025-01-25T02:45:00,Online purchase
TXN-10244,ACC-014,1857.77,EUR,CREDIT,COMPLETED,2025-01-25T04:39:00,Refund
TXN-10245,ACC-050,4203.17,EUR,CREDIT,COMPLETED,2025-01-25T05:12:00,Salary payment
TXN-10246,ACC-019,4096.27,EUR,CREDIT,COMPLETED,2025-01-25T05:48:00,Salary payment
TXN-10247,ACC-085,332.12,EUR,CREDIT,COMPLETED,2025-01-25T06:12:00,Salary payment
TXN-10248,ACC-042,-49.11,EUR,DEBIT,COMPLETED,2025-01-25T07:51:00,Gas station
TXN-10249,ACC-001,-103.68,USD,DEBIT,COMPLETED,2025-01-25T09:00:00,Gym membership
TXN-10250,ACC-024,-55.32,EUR,DEBIT,COMPLETED,2025-01-25T10:48:00,Online purchase
TXN-10251,ACC-068,-217.96,EUR,DEBIT,COMPLETED,2025-01-25T11:05:00,Rent
TXN-10252,ACC-045,2821.85,EUR,CREDIT,COMPLETED,2025-01-25T12:40:00,Salary payment
TXN-10253,ACC-075,-31.84,EUR,DEBIT,COMPLETED,2025-01-25T14:06:00,Coffee shop
TXN-10254,ACC-071,-191.09,EUR,DEBIT,PENDING,2025-01-25T15:14:00,Rent
TXN-10255,ACC-044,-76.56,EUR,DEBIT,PENDING,2025-01-25T16:18:00,Gas station
TXN-10256,ACC-035,-393.53,EUR,DEBIT,FAILED,2025-01-25T17:56:00,Streaming subscription
TXN-10257,ACC-004,-249.72,EUR,DEBIT,FAILED,2025-01-25T18:41:00,Grocery store
TXN-10258,ACC-023,-468.66,EUR,DEBIT,COMPLETED,2025-01-25T20:18:00,Gas station
TXN-10259,ACC-068,-181.54,EUR,DEBIT,COMPLETED,2025-01-25T22:14:00,Gas station
TXN-10260,ACC-048,-230.72,EUR,DEBIT,COMPLETED,2025-01-25T23:19:00,Gym membership
TXN-10261,ACC-001,-364.26,EUR,DEBIT,COMPLETED,2025-01-26T00:11:00,Pharmacy
TXN-10262,ACC-054,1605.95,EUR,CREDIT,COMPLETED,2025-01-26T01:50:00,Gift
TXN-10263,ACC-088,1135.44,EUR,CREDIT,COMPLETED,2025-01-26T02:55:00,Salary payment
TXN-10264,ACC-100,-36.07,EUR,DEBIT,COMPLETED,2025-01-26T03:50:00,Restaurant
TXN-10265,ACC-038,-491.39,EUR,DEBIT,COMPLETED,2025-01-26T04:30:00,Streaming subscription
TXN-10266,ACC-082,-494.11,EUR,DEBIT,COMPLETED,2025-01-26T06:14:00,Gym membership
TXN-10267,ACC-004,-342.82,EUR,DEBIT,COMPLETED,2025-01-26T07:34:00,Pharmacy
